Date,Relational Database Service($),EC2-Other($),Elastic Container Service for Kubernetes($),DocumentDB (with MongoDB compatibility)($),Elastic Load Balancing($),S3($),EC2-Instances($),SNS($),Total costs($)
12/1/2025,,,,,,,,,0
12/2/2025,,,,,,,,,0
12/3/2025,,,,,,,,,0
12/4/2025,,,,,,,,,0
12/5/2025,,,,,,,,,0
12/6/2025,,,,,,,,,0
12/7/2025,,,,,,,,,0
12/8/2025,,,,,,,,,0
12/9/2025,,,,,,,,,0
12/10/2025,23.9153623865,2.5688836648,2,1.1715840706,0.2394704001,0.0033538159,,0.000015,29.8986693379
12/11/2025,57.9330635175,6.1110061832,4.8,2.8114621696,0.5747885334,0.0303098333,0.3926,0.000038,72.653268237
12/12/2025,58.4032300746,6.11097399,4.8,2.8124353376,0.5748828444,0.0421046286,,0.0000375,72.7436643752
12/13/2025,57.4811164227,6.11097399,4.8,2.8106280896,0.5748373333,0.0198573543,,0.0000375,71.7974506899
12/14/2025,57.4958764738,6.11097399,4.8,2.812158957,0.5749097775,0.0197583844,,0.0000375,71.8137150827
12/15/2025,58.1301323123,6.11097399,4.8,2.8112597032,0.5747985332,0.0234474209,,0.0000365,72.4506484596
12/16/2025,59.3618156391,6.11097399,4.8,2.8114029148,0.5748478224,0.0228573591,,0.0000395,73.6819372254
12/17/2025,58.4071345143,6.11097399,4.8,2.8129245428,0.5748496891,0.0216280328,,0.0000385,72.727549269
12/18/2025,57.7336582197,6.11097399,4.8,2.8108783144,0.5747912001,0.0220541241,,0.0000455,72.0524013483
12/19/2025,57.7208305775,6.11097399,4.8,2.8125135223,0.5748289775,0.0210440497,,0.0000375,72.040228617
12/20/2025,57.7283734238,6.11097399,4.8,2.811469668,0.5748051109,0.0213011881,,0.000035,72.0469583808
12/21/2025,57.3836269985,6.11097399,4.8,2.8111698988,0.5748928001,0.0254019648,,0.0000375,71.7061031522
12/22/2025,57.9824692409,6.11097399,4.8,2.8114749872,0.5746995555,0.0382274397,,0.0000365,72.3178817133
12/23/2025,58.0800580007,6.11097399,4.8,2.8118859472,0.5748504888,0.0622111657,,0.00006,72.4400395924
12/24/2025,58.0780282911,6.11097399,4.8,2.8113806072,0.5741240001,0.0244348667,,0.0000385,72.3989802551
12/25/2025,57.6030614065,6.11097399,4.8,2.8116809072,0.5736,0.0201388258,,0.0000375,71.9194926295
12/26/2025,58.1328928037,6.11097399,4.8,2.8122097872,0.5736,0.0416555875,,0.0000375,72.4713696684
12/27/2025,57.4633541498,6.11097399,4.8,2.8118830872,0.5736,0.0227223591,,0.0000375,71.7825710861
12/28/2025,57.3667754247,6.11097399,4.8,2.8110068272,0.5736,0.0197090367,,0.0000405,71.6821057786
12/29/2025,57.8568864314,6.11097399,4.8,2.8120892272,0.5736,0.0216691768,,0.000041,72.1752598254
12/30/2025,57.9792732301,6.11097399,4.8,2.811832652,0.5736,0.0339373242,,0.000041,72.3096581963
12/31/2025,57.8126057237,6.11097399,4.8,2.811734142,0.5736,0.0279825759,,0.0000385,72.1369349316
