service_description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost (â‚¹),Negotiated savings (â‚¹),Savings programs (â‚¹),Other savings (â‚¹),Unrounded subtotal (â‚¹),Subtotal,Percent change in subtotal compared to previous period
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Thinking Text Output - Predictions,CD33-11F4-1220,"55,78,065",count,1244.92,0,0,0,1244.919242,1244.92,84%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Thinking Text Output - Predictions,E367-697F-F274,"5,63,749",count,503.27,0,0,0,503.272805,503.27,631%
Vertex AI,C7E2-9256-1C43,Imagen 4 Generation (output),180A-C24F-9D7F,138,count,492.78,0,0,0,492.7842,492.78,17%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Output (Thinking On) - Predictions,A253-E8A3-DE5C,"17,02,400",count,379.94,0,0,0,379.943478,379.94,43%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Text Output - Predictions,5DA2-3F77-1CA5,"4,01,000",count,357.98,0,0,0,357.982703,357.98,1819%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Input - Predictions,FDAB-647C-5A22,"52,29,557",count,140.06,0,0,0,140.056403,140.06,174%
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Output - Predictions,DFB0-8442-43A8,"12,83,059",count,68.73,0,0,0,68.725074,68.73,3635%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Text Input - Predictions,A121-E2B5-1418,"6,15,311",count,68.66,0,0,0,68.662916,68.66,-16%
Vertex AI,C7E2-9256-1C43,Imagen 4 Fast Generation (output),16F4-DB9A-3040,29,count,51.78,0,0,0,51.77805,51.78,879%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Image Input - Predictions,B401-3774-BCEE,"4,22,862",count,47.19,0,0,0,47.187431,47.19,1317%
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Input - Predictions,1127-99B9-1860,"29,47,660",count,39.47,0,0,0,39.471686,39.47,5791%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Image Input - Predictions,7C13-537E-1E75,"6,31,050",count,16.9,0,0,0,16.900619,16.9,-79%
Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Image Output - Predictions,47A8-A5A1-B26C,"1,120",count,12,0,0,0,11.998224,12,New
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Lite Video Input - Predictions,11C8-46BE-4E57,"10,12,908",count,6.78,0,0,0,6.78186,6.78,124%
Vertex AI,C7E2-9256-1C43,Imagen for Image Generation (output),C2E9-4A3E-595F,3,count,5.36,0,0,0,5.35635,5.36,-98%
Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Output - Predictions,2737-2D33-D986,"4,570",count,4.9,0,0,0,4.895702,4.9,New
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Text Input - Predictions,F91E-007E-3BA1,"3,06,643",count,2.74,0,0,0,2.737473,2.74,1270%
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Lite Text Output - Predictions,4D69-506A-5D33,"92,537",count,2.48,0,0,0,2.478264,2.48,-26%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Text Output - Predictions,2D6E-6AC5-B1FD,"54,265",count,1.94,0,0,0,1.937746,1.94,547%
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Lite Image Input - Predictions,43D4-BF5C-292D,"2,61,612",count,1.75,0,0,0,1.751565,1.75,-52%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Image Input - Predictions,6011-E737-2479,"1,27,194",count,1.14,0,0,0,1.135491,1.14,470%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Multi-region,0D5D-6E23-4250,0.524,gibibyte month,1.22,-0.18,0,0,1.034748,1.03,-6%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Mumbai,2717-BEFE-3773,0.543,gibibyte month,1.11,-0.17,0,0,0.947534,0.95,17%
Vertex AI,C7E2-9256-1C43, Gemini 2.5 Pro Input Text Caching,E941-1B12-88B9,"66,919",count,0.75,0,0,0,0.746743,0.75,-97%
Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Input - Predictions,EAC4-305F-1249,"4,071",count,0.73,0,0,0,0.726856,0.73,New
Vertex AI,C7E2-9256-1C43, Gemini 2.5 Flash GA Text Output - Predictions,AF56-1BF9-492A,"2,965",count,0.66,0,0,0,0.661732,0.66,3200%
